case,activity,resource,timestamp,Att1,Att2,Att3,Att4,Att5,Att6
601,Completed-Closed,Peter,2012/1/3 16:01:46,Medium,se,Org line G4,E_1,PROD286,Sweden
1264,Accepted-In Progress,Komaraiah,2012/3/23 10:13:26,Major,us,Org line C,E_4,PROD219,Sweden
1264,Completed-Closed,Komaraiah,2012/3/23 10:16:35,Major,us,Org line C,E_4,PROD219,Sweden
11,Accepted-In Progress,Per,2009/8/11 8:44:51,Medium,se,Org line C,E_10,PROD425,Sweden
11,Queued-Awaiting Assignment,Per,2009/8/11 8:55:12,Medium,se,Org line C,E_10,PROD425,Sweden
11,Accepted-Assigned,Per,2009/8/11 12:01:25,Medium,se,Org line C,E_10,PROD425,Sweden
11,Queued-Awaiting Assignment,Per,2010/5/18 12:35:53,Medium,se,Org line C,E_10,PROD425,Sweden
11,Accepted-In Progress,Tony,2010/6/16 12:00:32,Medium,se,Org line C,C_6,PROD425,Sweden
11,Accepted-Wait,Tony,2011/10/1 22:40:28,Medium,se,Org line C,C_6,PROD425,Sweden
11,Queued-Awaiting Assignment,Tony,2011/12/7 12:41:00,Medium,se,Org line C,E_10,PROD425,Sweden
11,Accepted-In Progress,Reza,2012/2/15 12:01:20,Medium,se,Org line C,E_10,PROD425,Sweden
11,Completed-Closed,Reza,2012/2/19 21:57:21,Medium,se,Org line C,E_10,PROD425,Sweden
1911,Accepted-In Progress,Murali,2012/4/17 7:46:35,High,in,Org line B,E_10,PROD209,INDIA
1911,Completed-Closed,Murali,2012/5/16 5:48:11,High,in,Org line B,E_10,PROD209,INDIA
2203,Accepted-In Progress,Marc,2012/6/1 14:34:16,Medium,be,Org line C,E_6,PROD149,Belgium
2203,Queued-Awaiting Assignment,Marc,2012/6/1 15:01:28,Medium,be,Org line C,E_6,PROD149,Belgium
2203,Accepted-In Progress,Ludwig,2012/6/12 12:31:37,Medium,be,Org line C,E_6,PROD149,Belgium
2203,Accepted-In Progress,Partha,2012/6/13 10:45:10,Medium,be,Org line C,E_10,PROD149,Sweden
2203,Queued-Awaiting Assignment,Marc,2012/6/13 10:48:18,Medium,be,Org line C,E_6,PROD149,Belgium
2203,Accepted-In Progress,Marc,2012/6/13 12:06:59,Medium,be,Org line C,E_6,PROD149,Belgium
886,Accepted-In Progress,Dan,2012/1/13 10:45:27,Major,se,Org line C,C_6,PROD214,Sweden
886,Queued-Awaiting Assignment,Dan,2012/1/13 11:32:14,Major,se,Org line C,C_6,PROD214,Sweden
886,Accepted-In Progress,Dan,2012/3/2 10:15:13,Major,se,Org line C,C_6,PROD214,Sweden
886,Completed-Closed,Dan,2012/3/2 10:30:45,Major,se,Org line C,C_6,PROD214,Sweden
218,Accepted-In Progress,Carolyn,2011/1/5 22:06:32,Medium,us,Org line G3,C_6,PROD96,USA
218,Queued-Awaiting Assignment,Carolyn,2011/1/5 22:21:19,Medium,us,Org line G3,C_6,PROD96,USA
218,Accepted-In Progress,Padmanabha,2011/1/6 10:17:16,Medium,us,Org line G3,C_6,PROD96,Sweden
218,Accepted-Assigned,Carolyn,2011/1/6 10:20:30,Medium,us,Org line G3,C_6,PROD96,USA
218,Accepted-In Progress,Ewa,2012/2/6 16:12:42,Medium,us,Org line G3,C_6,PROD96,POLAND
218,Completed-Closed,Ewa,2012/2/6 16:17:25,Medium,us,Org line G3,C_6,PROD96,POLAND
1378,Accepted-In Progress,Anson,2012/4/19 5:54:27,Medium,cn,Org line A2,A2_5,PROD789,China
1378,Queued-Awaiting Assignment,Anson,2012/4/19 7:58:07,Medium,cn,Org line A2,A2_5,PROD789,China
1378,Accepted-In Progress,Anson,2012/5/24 5:31:28,Medium,cn,Org line A2,A2_5,PROD789,China
1378,Completed-Closed,Anson,2012/5/24 5:31:54,Medium,cn,Org line A2,A2_5,PROD789,China
1273,Accepted-In Progress,Shibly,2012/3/26 14:18:02,High,se,Other,A2_5,PROD805,Sweden
1273,Accepted-In Progress,Shibly,2012/3/26 14:19:01,High,se,Other,A2_5,PROD805,Sweden
1273,Accepted-In Progress,Shibly,2012/3/26 14:20:05,High,se,Other,A2_5,PROD805,Sweden
1273,Queued-Awaiting Assignment,Vesa,2012/3/26 14:37:13,High,se,Org line C,C_6,PROD805,Sweden
1273,Accepted-In Progress,Bj?rn,2012/3/26 14:55:07,High,se,Org line C,C_6,PROD805,Sweden
1273,Completed-Closed,Bj?rn,2012/3/26 14:58:43,High,se,Org line C,C_6,PROD805,Sweden
1979,Accepted-In Progress,Samira,2012/5/8 13:46:41,Medium,se,Org line G4,C_6,PROD448,Sweden
1979,Accepted-Assigned,Samira,2012/5/8 13:48:44,Medium,se,Org line G4,C_6,PROD448,Sweden
1979,Accepted-In Progress,Samira,2012/5/29 9:29:13,Medium,se,Org line G4,C_6,PROD448,Sweden
1979,Accepted-Wait,Samira,2012/6/8 15:25:04,Medium,se,Org line G4,C_6,PROD448,Sweden
1084,Accepted-Assigned,Samira,2012/2/16 11:22:52,Medium,se,Org line G4,C_6,PROD448,Sweden
1084,Accepted-In Progress,Samira,2012/5/2 12:00:11,Medium,se,Org line G4,C_6,PROD448,Sweden
1084,Completed-Closed,Samira,2012/5/2 12:03:30,Medium,se,Org line G4,C_6,PROD448,Sweden
1421,Accepted-In Progress,Alice,2012/5/2 23:20:24,Low,br,Org line B,E_3,PROD120,Brazil
1421,Accepted-Assigned,Alice,2012/5/2 23:22:01,Low,br,Org line B,E_3,PROD120,Brazil
1421,Completed-Closed,Alice,2012/5/25 18:38:43,Low,br,Org line B,E_3,PROD120,Brazil
1138,Accepted-In Progress,Christer,2012/2/28 11:33:31,High,se,Org line C,C_6,PROD802,Sweden
1138,Completed-Closed,Christer,2012/5/29 14:53:55,High,se,Org line C,C_6,PROD802,Sweden
1053,Accepted-In Progress,J?rgen,2012/2/13 14:17:55,Medium,se,Org line A2,A2_3,PROD93,Sweden
1053,Completed-Closed,J?rgen,2012/2/13 20:27:03,Medium,se,Org line A2,A2_3,PROD93,Sweden
1381,Accepted-In Progress,Lars,2012/4/19 13:36:37,Low,se,Org line C,C_6,PROD805,Sweden
1381,Accepted-Wait,Lars,2012/4/19 13:37:20,Low,se,Org line C,C_6,PROD805,Sweden
1381,Completed-Closed,Lars,2012/5/24 11:41:39,Low,se,Org line C,C_6,PROD805,Sweden
566,Accepted-In Progress,Peter,2011/10/13 16:25:56,Medium,se,Org line G4,C_6,PROD286,Sweden
566,Completed-Closed,Peter,2012/1/3 16:00:47,Medium,se,Org line G4,C_6,PROD286,Sweden
1392,Accepted-In Progress,Ewa,2012/4/23 16:56:04,High,us,Org line G3,C_6,PROD98,POLAND
1392,Completed-Closed,Ewa,2012/4/23 16:59:57,High,us,Org line G3,C_6,PROD98,POLAND
1848,Accepted-In Progress,J?rgen,2012/3/5 16:28:53,High,us,Org line C,E_4,PROD348,Sweden
1848,Completed-Closed,J?rgen,2012/3/29 15:12:42,High,us,Org line C,E_4,PROD348,Sweden
481,Accepted-In Progress,Fredrik,2011/9/6 10:29:51,Medium,us,Org line C,E_4,PROD794,Sweden
481,Completed-Closed,Fredrik,2012/3/26 18:00:49,Medium,us,Org line C,E_4,PROD794,Sweden
394,Accepted-In Progress,Katarina,2011/7/5 14:33:46,Medium,se,Org line G4,E_4,PROD374,Sweden
394,Accepted-Assigned,Katarina,2012/2/15 17:33:28,Medium,se,Org line G4,E_4,PROD374,Sweden
394,Completed-Closed,Katarina,2012/5/23 18:00:04,Medium,se,Org line G4,E_4,PROD374,Sweden
1881,Accepted-In Progress,Krzysztof,2012/3/23 4:02:26,Medium,pl,Org line A2,A2_1,PROD756,POLAND
1881,Accepted-Assigned,Krzysztof,2012/3/23 4:05:55,Medium,pl,Org line A2,A2_1,PROD756,POLAND
1881,Accepted-In Progress,Krzysztof,2012/3/26 13:38:36,Medium,pl,Org line A2,A2_1,PROD756,POLAND
1881,Accepted-Wait,Krzysztof,2012/3/28 12:23:39,Medium,pl,Org line A2,A2_1,PROD756,POLAND
1881,Completed-Closed,Krzysztof,2012/4/10 9:50:05,Medium,pl,Org line A2,A2_1,PROD756,POLAND
2170,Accepted-In Progress,Cindy,2012/5/30 8:28:43,Low,cn,Org line A2,A2_2,PROD753,China
414,Accepted-In Progress,Ian,2011/7/18 15:45:13,High,gb,Org line A2,A2_1,PROD235,United Kingdom
414,Accepted-In Progress,Ian,2011/7/18 15:48:49,High,gb,Org line A2,A2_1,PROD235,United Kingdom
414,Accepted-Assigned,Ian,2011/7/18 15:55:27,High,gb,Org line A2,A2_1,PROD235,United Kingdom
414,Accepted-In Progress,Ian,2011/9/9 13:17:31,High,gb,Org line A2,A2_1,PROD235,United Kingdom
414,Accepted-In Progress,Andrew,2011/9/28 16:04:50,High,gb,Org line A2,A2_1,PROD235,United Kingdom
414,Accepted-Wait,Andrew,2011/9/28 16:05:03,High,gb,Org line A2,A2_1,PROD235,United Kingdom
414,Completed-Closed,Andrew,2012/2/15 11:19:55,High,gb,Org line A2,A2_1,PROD235,United Kingdom
109,Accepted-In Progress,Carolyn,2010/6/4 17:57:53,Medium,us,Org line G3,C_4,PROD96,USA
109,Queued-Awaiting Assignment,Carolyn,2010/6/4 17:59:45,Medium,us,Org line G3,C_4,PROD96,USA
109,Accepted-In Progress,Kannan,2010/6/4 18:08:12,Medium,us,Org line G3,C_4,PROD96,Sweden
109,Accepted-Assigned,Carolyn,2010/6/4 18:08:18,Medium,us,Org line G3,C_4,PROD96,USA
109,Accepted-In Progress,Ewa,2012/1/30 12:50:40,Medium,us,Org line G3,C_4,PROD96,POLAND
109,Completed-Closed,Ewa,2012/1/30 12:51:51,Medium,us,Org line G3,C_4,PROD96,POLAND
1237,Accepted-In Progress,Tamara,2012/3/16 8:48:29,Low,be,Org line C,A2_1,PROD235,Belgium
1237,Accepted-Wait,Tamara,2012/3/16 8:49:23,Low,be,Org line C,A2_1,PROD235,Belgium
1237,Completed-Closed,Tamara,2012/3/16 8:51:06,Low,be,Org line C,A2_1,PROD235,Belgium
1360,Accepted-In Progress,Florent,2012/4/16 12:15:04,Major,fr,Org line C,C_5,PROD609,France
1360,Completed-Closed,Florent,2012/4/16 12:17:25,Major,fr,Org line C,C_5,PROD609,France
2097,Accepted-In Progress,Ewa,2012/5/22 11:57:53,High,us,Org line G3,C_5,PROD98,POLAND
2097,Completed-Closed,Ewa,2012/5/22 12:03:02,High,us,Org line G3,C_5,PROD98,POLAND
948,Accepted-In Progress,David,2012/1/25 15:36:13,Medium,us,Org line A2,A2_3,PROD231,USA
948,Completed-Closed,David,2012/3/14 12:26:04,Medium,us,Org line A2,A2_3,PROD231,USA
1662,Accepted-Wait,Urban,2011/10/25 14:12:06,Low,se,Org line A2,A2_3,PROD551,Sweden
1662,Accepted-Assigned,Urban,2011/11/28 11:10:24,Low,se,Org line A2,A2_3,PROD551,Sweden
1662,Accepted-In Progress,Urban,2012/2/29 14:03:00,Low,se,Org line A2,A2_3,PROD551,Sweden
1662,Completed-Closed,Urban,2012/2/29 14:03:01,Low,se,Org line A2,A2_3,PROD551,Sweden
2109,Accepted-In Progress,Saki,2012/5/23 14:41:45,Low,us,Org line A2,A2_4,PROD589,Sweden
2109,Accepted-Wait,Saki,2012/5/23 15:31:00,Low,us,Org line A2,A2_4,PROD589,Sweden
2224,Accepted-In Progress,Olle,2012/6/5 13:36:48,High,se,Org line C,E_2,PROD330,Sweden
2224,Accepted-Assigned,Olle,2012/6/5 13:44:41,High,se,Org line C,E_2,PROD330,Sweden
2224,Accepted-In Progress,Olle,2012/6/5 13:58:00,High,se,Org line C,E_2,PROD330,Sweden
1223,Accepted-In Progress,Peter,2012/3/14 14:59:11,Low,be,Org line C,C_2,PROD327,Sweden
1223,Accepted-In Progress,Peter,2012/4/3 15:42:42,Low,be,Org line C,C_2,PROD327,Sweden
1223,Completed-Closed,Peter,2012/5/3 11:32:22,Low,be,Org line C,C_2,PROD327,Sweden
985,Accepted-In Progress,Mikael,2012/2/2 15:49:18,High,se,Org line C,C_6,PROD802,Sweden
985,Accepted-Wait,Mikael,2012/3/1 10:28:47,High,se,Org line C,C_6,PROD802,Sweden
985,Completed-Closed,Mikael,2012/5/9 14:12:09,High,se,Org line C,C_6,PROD802,Sweden
8,Accepted-In Progress,Juan,2008/11/13 9:43:32,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Accepted-In Progress,Juan,2012/1/30 10:56:24,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Accepted-In Progress,Juan,2012/1/30 11:12:05,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Queued-Awaiting Assignment,Earl,2012/2/16 14:52:16,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Accepted-In Progress,Juan,2012/2/16 15:09:17,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Queued-Awaiting Assignment,Earl,2012/2/16 15:09:43,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Accepted-In Progress,Juan,2012/2/16 15:10:10,High,nl,Org line V7n,C_6,PROD542,Netherlands
8,Completed-Closed,Juan,2012/3/19 9:26:32,High,nl,Org line V7n,C_6,PROD542,Netherlands
632,Accepted-In Progress,Sandra,2011/11/3 9:48:02,Low,fr,Org line C,C_6,PROD696,USA
632,Queued-Awaiting Assignment,Sandra,2011/12/7 15:01:12,Low,fr,Org line C,C_6,PROD696,USA
632,Accepted-In Progress,Andrzej,2011/12/7 15:01:20,Low,fr,Org line A2,A2_2,PROD696,POLAND
632,Queued-Awaiting Assignment,Cyril,2011/12/7 15:04:17,Low,fr,Org line C,E_6,PROD696,France
632,Accepted-In Progress,Cyril,2012/1/10 16:27:44,Low,fr,Org line C,E_6,PROD696,France
632,Completed-Closed,Cyril,2012/1/10 16:29:11,Low,fr,Org line C,E_6,PROD696,France
1063,Accepted-Assigned,Per-Eric,2012/2/14 12:37:01,Medium,se,Org line A2,A2_3,PROD82,Sweden
1063,Accepted-Wait,Per-Eric,2012/2/14 12:39:35,Medium,se,Org line A2,A2_3,PROD82,Sweden
1063,Completed-Closed,Per-Eric,2012/2/16 15:44:17,Medium,se,Org line A2,A2_3,PROD82,Sweden
951,Accepted-In Progress,Petrus,2012/1/26 11:40:36,Major,be,Org line C,E_1,PROD715,Sweden
951,Completed-Closed,Petrus,2012/1/26 11:45:14,Major,be,Org line C,E_1,PROD715,Sweden
1693,Accepted-In Progress,Freddy,2011/11/29 4:12:33,Medium,in,Org line C,E_4,PROD325,INDIA
1693,Completed-Closed,Freddy,2011/12/19 4:43:18,Medium,in,Org line C,E_4,PROD325,INDIA
1693,Accepted-In Progress,Freddy,2012/1/18 12:05:10,Medium,in,Org line C,E_4,PROD325,INDIA
1693,Completed-Closed,Freddy,2012/1/18 12:07:06,Medium,in,Org line C,E_4,PROD325,INDIA
1693,Accepted-In Progress,Freddy,2012/2/14 9:15:07,Medium,in,Org line C,E_4,PROD325,INDIA
1693,Completed-Closed,Freddy,2012/2/14 9:15:35,Medium,in,Org line C,E_4,PROD325,INDIA
341,Accepted-In Progress,Gustav,2011/5/17 14:37:22,Low,se,Org line G4,E_1,PROD410,Sweden
341,Accepted-In Progress,Gustav,2012/2/21 15:34:34,Low,se,Org line G4,E_1,PROD410,Sweden
341,Completed-Closed,Gustav,2012/2/21 15:34:36,Low,se,Org line G4,E_1,PROD410,Sweden
1014,Accepted-In Progress,Marie-Aimee,2012/2/8 5:57:07,High,be,Org line C,E_3,PROD379,France
1014,Completed-Closed,Marie-Aimee,2012/3/14 11:18:45,High,be,Org line C,E_3,PROD379,France
2115,Accepted-In Progress,Christoffer,2012/5/23 16:48:42,Low,se,Org line G4,E_3,PROD412,Sweden
196,Accepted-In Progress,Carolyn,2010/12/3 12:08:38,Medium,us,Org line G3,E_3,PROD97,USA
196,Queued-Awaiting Assignment,Carolyn,2010/12/3 12:14:56,Medium,us,Org line G3,E_3,PROD97,USA
196,Accepted-In Progress,Santhosh,2010/12/3 13:43:00,Medium,us,Org line G3,E_3,PROD97,Sweden
196,Accepted-Assigned,Carolyn,2010/12/3 13:45:20,Medium,us,Org line G3,E_3,PROD97,USA
196,Accepted-In Progress,Ewa,2012/1/30 13:03:34,Medium,us,Org line G3,E_3,PROD97,POLAND
196,Completed-Closed,Ewa,2012/1/30 13:04:09,Medium,us,Org line G3,E_3,PROD97,POLAND
116,Accepted-In Progress,Carolyn,2010/6/15 16:37:49,Medium,us,Org line G3,E_3,PROD98,USA
116,Queued-Awaiting Assignment,Carolyn,2010/6/15 16:46:08,Medium,us,Org line G3,E_3,PROD98,USA
116,Accepted-In Progress,Kannan,2010/6/15 16:50:16,Medium,us,Org line G3,E_3,PROD98,Sweden
116,Accepted-Assigned,Carolyn,2010/6/15 16:50:22,Medium,us,Org line G3,E_3,PROD98,USA
116,Accepted-In Progress,Kannan,2010/8/27 19:14:48,Medium,us,Org line A2,A2_2,PROD98,Sweden
116,Accepted-Assigned,Y,2010/8/27 19:14:57,Medium,us,Org line A2,A2_2,PROD98,Sweden
116,Accepted-Wait,Y,2010/9/2 10:36:22,Medium,us,Org line A2,A2_2,PROD98,Sweden
116,Queued-Awaiting Assignment,Carolyn,2011/2/9 12:05:52,Medium,us,Org line G3,A2_2,PROD98,USA
116,Accepted-In Progress,Padmanabha,2011/2/16 11:53:01,Medium,us,Org line G3,A2_2,PROD98,Sweden
116,Accepted-Assigned,Carolyn,2011/2/16 11:53:25,Medium,us,Org line G3,A2_2,PROD98,USA
116,Accepted-In Progress,Ewa,2012/2/4 9:20:39,Medium,us,Org line G3,A2_2,PROD98,POLAND
116,Completed-Closed,Ewa,2012/2/4 10:19:57,Medium,us,Org line G3,A2_2,PROD98,POLAND
1358,Queued-Awaiting Assignment,Robert,2012/4/13 18:20:12,High,us,Org line C,A2_2,PROD316,USA
1358,Accepted-Assigned,Christy,2012/4/13 21:09:17,High,us,Org line C,A2_2,PROD316,USA
1358,Completed-Closed,Christy,2012/5/11 22:00:27,High,us,Org line C,A2_2,PROD316,USA
1355,Accepted-In Progress,Mariusz,2012/4/13 12:19:48,Medium,pl,Org line A2,A2_2,PROD796,POLAND
1355,Completed-Closed,Mariusz,2012/5/31 11:10:27,Medium,pl,Org line A2,A2_2,PROD796,POLAND
243,Accepted-In Progress,Carolyn,2011/2/16 8:51:55,Medium,us,Org line G3,E_4,PROD96,USA
243,Queued-Awaiting Assignment,Carolyn,2011/2/16 9:05:00,Medium,us,Org line G3,E_4,PROD96,USA
243,Accepted-In Progress,Padmanabha,2011/2/16 10:22:59,Medium,us,Org line G3,E_4,PROD96,Sweden
243,Accepted-Assigned,Carolyn,2011/2/16 10:23:08,Medium,us,Org line G3,E_4,PROD96,USA
243,Accepted-In Progress,Ewa,2012/1/30 12:45:03,Medium,us,Org line G3,E_4,PROD96,POLAND
243,Completed-Closed,Ewa,2012/1/30 12:47:13,Medium,us,Org line G3,E_4,PROD96,POLAND
1784,Accepted-In Progress,Mattias,2012/2/6 9:49:01,Medium,se,Org line G4,E_4,PROD108,Sweden
1784,Completed-Closed,Mattias,2012/2/27 14:31:19,Medium,se,Org line G4,E_4,PROD108,Sweden
2082,Accepted-In Progress,Daniel,2012/5/18 19:17:14,High,se,Org line C,E_10,PROD802,Sweden
2082,Queued-Awaiting Assignment,Daniel,2012/5/29 12:02:03,High,se,Org line C,E_10,PROD802,Sweden
2082,Accepted-In Progress,Hampus,2012/5/29 13:56:26,High,se,Org line C,E_10,PROD802,Sweden
2082,Accepted-Wait,Hampus,2012/5/30 15:30:09,High,se,Org line C,E_10,PROD802,Sweden
352,Accepted-In Progress,H?kan,2011/5/26 17:05:47,High,se,Org line A2,A2_4,PROD337,Sweden
352,Accepted-In Progress,H?kan,2012/4/4 17:06:03,High,se,Org line A2,A2_4,PROD337,Sweden
352,Completed-Closed,H?kan,2012/4/4 17:06:48,High,se,Org line A2,A2_4,PROD337,Sweden
1871,Accepted-In Progress,Gitt,2012/3/16 9:32:20,Medium,se,Org line C,E_2,PROD327,Sweden
1871,Queued-Awaiting Assignment,Gitt,2012/3/16 9:34:29,Medium,se,Org line C,E_2,PROD327,Sweden
317,Accepted-In Progress,Carolyn,2011/4/28 11:49:58,Medium,us,Org line G3,A2_4,PROD97,USA
317,Queued-Awaiting Assignment,Carolyn,2011/4/28 11:54:58,Medium,us,Org line G3,A2_4,PROD97,USA
317,Accepted-In Progress,Padmanabha,2011/4/28 11:59:18,Medium,us,Org line G3,A2_4,PROD97,Sweden
317,Accepted-Assigned,Carolyn,2011/4/28 11:59:26,Medium,us,Org line G3,A2_4,PROD97,USA
317,Accepted-In Progress,Ewa,2012/1/30 21:56:57,Medium,us,Org line G3,A2_4,PROD97,POLAND
317,Completed-Closed,Ewa,2012/1/30 22:01:30,Medium,us,Org line G3,A2_4,PROD97,POLAND
335,Accepted-In Progress,Gunilla,2011/5/13 11:02:23,Low,se,Org line A2,A2_3,PROD76,Sweden
335,Accepted-Wait,Gunilla,2011/5/13 11:02:48,Low,se,Org line A2,A2_3,PROD76,Sweden
335,Accepted-Assigned,Gunilla,2011/7/12 10:28:53,Low,se,Org line A2,A2_3,PROD76,Sweden
335,Accepted-In Progress,Yvonne,2012/1/18 12:47:42,Low,se,Org line A2,A2_3,PROD76,Sweden
335,Completed-Closed,Yvonne,2012/1/18 12:47:57,Low,se,Org line A2,A2_3,PROD76,Sweden
428,Accepted-In Progress,G?ran,2011/8/8 14:24:45,High,se,Org line C,E_6,PROD108,Sweden
428,Queued-Awaiting Assignment,G?ran,2011/8/8 14:28:29,High,se,Org line C,E_6,PROD108,Sweden
428,Accepted-In Progress,G?ran,2011/8/15 10:07:29,High,se,Org line C,E_6,PROD108,Sweden
428,Queued-Awaiting Assignment,Fredrik,2011/8/15 10:08:23,High,se,Org line G4,E_6,PROD108,Sweden
428,Accepted-Assigned,Tord,2011/11/4 12:41:01,High,se,Org line G4,E_6,PROD108,Sweden
428,Accepted-In Progress,Mattias,2012/1/24 11:52:59,High,se,Org line G4,E_6,PROD108,Sweden
428,Completed-Closed,Mattias,2012/1/24 11:58:41,High,se,Org line G4,E_6,PROD108,Sweden
2228,Accepted-In Progress,Flavio,2012/6/6 13:48:04,Medium,br,Org line A2,A2_2,PROD135,Brazil
802,Accepted-In Progress,Valter,2011/12/21 10:39:43,Low,se,Org line A2,A2_3,PROD831,Sweden
802,Accepted-Assigned,Valter,2011/12/21 10:40:06,Low,se,Org line A2,A2_3,PROD831,Sweden
802,Accepted-In Progress,Valter,2012/1/30 14:18:50,Low,se,Org line A2,A2_3,PROD831,Sweden
802,Completed-Closed,Valter,2012/1/30 14:18:51,Low,se,Org line A2,A2_3,PROD831,Sweden
1666,Accepted-In Progress,Christer,2011/10/27 9:39:11,Medium,se,Org line G4,A2_3,PROD408,Sweden
1666,Accepted-Assigned,Christer,2011/10/27 12:37:42,Medium,se,Org line G4,A2_3,PROD408,Sweden
1666,Accepted-In Progress,Christer,2012/3/23 13:52:39,Medium,se,Org line G4,A2_3,PROD408,Sweden
1666,Completed-Closed,Christer,2012/3/23 13:52:47,Medium,se,Org line G4,A2_3,PROD408,Sweden
1339,Accepted-In Progress,Inger,2012/4/9 8:37:33,Medium,se,Org line C,C_3,PROD325,Sweden
1339,Queued-Awaiting Assignment,Inger,2012/4/9 8:39:47,Medium,se,Org line C,C_3,PROD325,Sweden
1339,Accepted-In Progress,Amar,2012/4/9 9:02:57,Medium,se,Org line C,C_3,PROD325,INDIA
1339,Completed-Closed,Amar,2012/4/16 11:59:43,Medium,se,Org line C,C_3,PROD325,INDIA
